id_imovel,tipo_imovel,zona,area_m2,quartos,casas_banho,andar,ano_construcao,estado_conservacao,orientacao_solar,vista,certificacao_energetica,distancia_centro_km,distancia_metro_km,distancia_escola_km,distancia_hospital_km,score_localizacao,tem_garagem,tem_piscina,tem_varanda,tem_arrecadacao,tem_elevador,tem_ar_condicionado,tem_lareira,tem_jardim,preco,preco_categoria
IMV00023,Duplex,Bairro Residencial,95,3,3,2,1970,Razoável,Sul,Rua,E,6.8,3.31,0.61,2.9,3,False,False,False,False,False,False,False,False,138900.0,Baixo
IMV00024,Duplex,Zona Comercial,87,2,1,3,2020,Novo,Sul,Rua,A+,3.3,1.73,0.18,7.25,5,False,True,True,True,True,True,False,True,340100.0,Alto
IMV00025,Estúdio,Zona Industrial,76,1,1,1,2023,Como Novo,Norte,Jardim,A,12.0,8.54,0.81,4.4,1,False,True,False,False,False,False,False,False,90500.0,Baixo
IMV00026,Duplex,Zona Premium,143,3,2,3,1962,Para Remodelar,Oeste,Pátio,D,4.4,1.2,0.82,6.28,5,False,False,False,False,False,True,False,False,330100.0,Alto
IMV00027,Moradia,Zona Premium,175,3,3,0,1992,Para Remodelar,Sudeste,Rua,E,2.6,1.46,1.98,8.96,5,True,True,False,True,False,False,True,True,471600.0,Alto
IMV00028,Duplex,Bairro Residencial,155,3,2,7,1988,Para Remodelar,Nordeste,Cidade,E,5.4,0.38,1.72,1.27,5,False,False,False,False,False,False,False,False,179900.0,Médio
IMV00029,Moradia,Zona Premium,139,3,2,0,1981,Razoável,Nordeste,Rua,E,4.5,3.81,0.06,0.97,6,True,False,False,False,True,False,False,False,465100.0,Alto
IMV00030,Estúdio,Bairro Residencial,56,2,2,3,2004,Razoável,Norte,Rua,C,4.4,0.76,0.11,4.01,5,False,True,True,False,False,False,False,False,86500.0,Baixo
IMV00031,Moradia,Zona Comercial,174,4,2,0,2011,Bom,Sudeste,Pátio,B,2.3,0.66,4.31,2.79,5,True,False,False,False,False,False,False,False,432900.0,Alto
IMV00032,Estúdio,Bairro Residencial,86,2,1,10,1979,Para Remodelar,Oeste,Mar,E,6.5,2.55,0.3,0.56,4,True,False,False,False,False,False,False,True,104200.0,Baixo
IMV00033,Duplex,Centro Histórico,108,2,1,1,2002,Bom,Sudeste,Jardim,C,0.0,0.91,0.8,2.39,6,False,True,False,False,False,False,False,False,280900.0,Médio
IMV00034,Penthouse,Centro Histórico,109,3,3,0,1968,Razoável,Sudoeste,Rua,D,0.0,3.91,1.28,0.15,5,True,False,True,True,True,False,True,False,373800.0,Alto
IMV00035,Estúdio,Zona Industrial,83,2,1,2,1961,Para Remodelar,Sudeste,Pátio,D,11.6,1.47,0.12,8.43,2,False,False,False,False,False,False,False,False,42900.0,Baixo
IMV00036,Duplex,Centro Histórico,148,4,2,10,1996,Razoável,Sul,Cidade,E,0.0,0.34,1.25,2.04,7,False,True,False,False,False,False,True,False,346900.0,Alto
IMV00037,Estúdio,Bairro Residencial,91,2,2,9,1965,Razoável,Sudeste,Cidade,D,4.8,4.41,0.17,2.65,4,False,False,False,False,False,False,True,False,94900.0,Baixo
IMV00038,Moradia,Zona Comercial,135,3,2,0,2020,Como Novo,Oeste,Jardim,A,1.8,0.18,4.19,5.48,6,False,False,True,False,True,True,True,True,405200.0,Alto
IMV00039,Moradia,Bairro Residencial,86,3,2,0,2022,Novo,Oeste,Rua,A+,3.7,1.03,0.54,7.39,3,False,False,False,False,False,False,False,True,215700.0,Médio
IMV00040,Penthouse,Zona Comercial,61,1,1,2,2010,Como Novo,Este,Rua,C,3.6,0.34,0.21,0.11,7,False,False,False,False,False,False,True,False,215200.0,Médio
IMV00041,Penthouse,Centro Histórico,135,3,3,3,2014,Como Novo,Sul,Pátio,B,0.9,1.61,0.03,0.75,6,False,False,False,True,False,False,False,False,477100.0,Alto
IMV00042,Estúdio,Zona Industrial,70,2,2,0,2014,Bom,Sudeste,Rua,C,8.1,0.13,0.23,0.08,4,False,False,False,False,False,True,False,False,59200.0,Baixo
IMV00043,Penthouse,Zona Comercial,170,3,3,1,2003,Bom,Sudoeste,Jardim,B,3.5,1.0,2.25,4.83,4,False,False,False,False,False,False,False,False,522500.0,Alto
IMV00044,Apartamento,Centro Histórico,71,1,2,10,2004,Razoável,Noroeste,Serra,C,0.7,2.59,0.75,5.06,5,False,False,False,False,False,False,False,False,120400.0,Baixo
IMV00045,Moradia,Periferia,124,3,3,0,2024,Novo,Este,Rua,A,6.7,3.69,0.54,1.45,2,False,False,False,False,False,False,False,False,203900.0,Médio
IMV00046,Duplex,Periferia,104,3,2,6,1995,Razoável,Nordeste,Cidade,E,7.2,1.25,0.65,3.27,2,False,True,False,False,False,False,False,False,138800.0,Baixo
IMV00047,Moradia,Centro Histórico,68,1,1,0,1999,Bom,Norte,Rua,E,0.0,2.56,1.61,3.56,5,False,False,False,False,False,True,False,False,189200.0,Médio
IMV00048,Estúdio,Zona Industrial,67,2,2,4,1965,Para Remodelar,Norte,Rua,E,11.6,1.56,1.18,0.16,1,False,False,False,False,False,False,False,False,34900.0,Baixo
IMV00049,Moradia,Periferia,115,3,2,0,2022,Como Novo,Este,Jardim,B,7.9,2.97,1.86,1.15,2,False,False,False,False,False,False,False,False,184000.0,Médio
IMV00050,Moradia,Periferia,125,5,2,0,1982,Razoável,Sul,Pátio,D,7.3,1.16,1.56,1.15,2,True,False,False,True,False,False,False,False,168700.0,Médio
IMV00051,Estúdio,Bairro Residencial,61,1,1,7,1969,Razoável,Sul,Cidade,F,4.3,1.11,1.32,0.01,3,False,False,False,False,False,False,False,False,58700.0,Baixo
IMV00052,Apartamento,Centro Histórico,106,3,2,0,1963,Razoável,Nordeste,Rua,E,1.8,2.32,0.09,1.62,6,False,True,False,False,True,True,False,False,250600.0,Médio
IMV00053,Moradia,Bairro Residencial,115,3,3,0,2013,Bom,Oeste,Jardim,B,6.5,3.94,5.28,0.57,3,False,True,False,False,False,False,True,False,251600.0,Médio
IMV00054,Estúdio,Zona Premium,91,3,2,0,1984,Para Remodelar,Este,Jardim,D,1.1,0.6,2.68,3.99,6,False,False,False,False,False,False,False,False,131600.0,Baixo
IMV00055,Moradia,Zona Premium,134,5,2,0,1988,Para Remodelar,Sudeste,Jardim,E,3.3,1.63,0.78,6.0,5,False,True,False,True,False,True,False,False,386600.0,Alto
IMV00056,Penthouse,Zona Comercial,144,5,3,0,1969,Para Remodelar,Sudoeste,Pátio,E,0.9,3.59,0.0,2.44,5,False,True,False,False,True,False,False,False,365600.0,Alto
IMV00057,Estúdio,Zona Industrial,76,2,1,4,1988,Para Remodelar,Oeste,Jardim,E,8.7,2.21,2.94,0.55,1,True,False,False,False,False,False,False,False,55400.0,Baixo
IMV00058,Duplex,Bairro Residencial,145,4,2,0,1974,Para Remodelar,Sudeste,Jardim,F,4.0,0.0,0.17,1.9,6,False,False,False,False,False,False,False,False,198900.0,Médio
IMV00059,Estúdio,Periferia,95,2,2,1,1980,Para Remodelar,Sul,Rua,E,9.4,5.01,1.43,1.75,2,False,False,False,False,False,False,False,False,53800.0,Baixo
IMV00060,Apartamento,Centro Histórico,104,3,2,3,2019,Como Novo,Noroeste,Jardim,A+,1.5,2.25,1.47,5.59,5,False,False,False,False,False,False,False,True,272800.0,Médio
IMV00061,Duplex,Zona Industrial,123,3,2,4,1961,Para Remodelar,Noroeste,Jardim,D,9.2,0.91,0.01,0.23,3,False,False,False,False,False,False,True,False,98000.0,Baixo
IMV00062,Apartamento,Centro Histórico,56,1,1,0,1987,Para Remodelar,Oeste,Rua,D,0.2,0.01,0.4,2.19,8,False,False,False,False,False,False,False,False,75500.0,Baixo
IMV00063,Moradia,Zona Premium,180,3,2,0,2022,Novo,Sul,Rua,B,4.6,1.35,0.96,2.85,5,True,True,True,True,True,False,True,True,817700.0,Alto
IMV00064,Duplex,Zona Premium,152,3,2,7,2023,Como Novo,Oeste,Cidade,A,4.5,0.85,0.04,0.53,7,True,True,False,True,False,False,True,False,514700.0,Alto
IMV00065,Moradia,Periferia,122,3,2,0,1983,Para Remodelar,Nordeste,Jardim,E,8.1,1.33,0.03,1.51,3,True,False,False,False,False,True,False,False,146000.0,Baixo
IMV00066,Moradia,Bairro Residencial,164,4,3,0,2023,Novo,Sudeste,Jardim,B,5.1,0.8,0.07,1.72,5,False,True,False,True,True,False,True,False,399900.0,Alto
IMV00067,Duplex,Zona Comercial,106,2,1,1,1969,Para Remodelar,Este,Jardim,D,0.6,0.9,0.89,8.9,5,False,False,False,False,False,False,False,False,165000.0,Médio
IMV00068,Duplex,Periferia,131,3,3,6,1974,Para Remodelar,Este,Cidade,E,8.2,0.05,4.32,0.39,4,False,False,False,False,False,False,False,False,103900.0,Baixo
IMV00069,Estúdio,Periferia,79,1,1,10,2002,Bom,Sudeste,Cidade,C,7.3,5.42,0.87,0.88,2,False,False,False,False,False,False,False,False,63300.0,Baixo
IMV00070,Duplex,Periferia,72,2,1,4,1960,Para Remodelar,Este,Pátio,E,6.6,0.4,3.31,0.88,4,False,False,False,False,True,False,False,False,75600.0,Baixo
IMV00071,Duplex,Zona Industrial,90,3,2,4,2023,Novo,Este,Pátio,A,10.4,0.57,2.01,15.03,2,False,False,False,False,False,False,False,False,122500.0,Baixo
IMV00072,Duplex,Periferia,136,4,3,5,1978,Para Remodelar,Oeste,Rua,D,7.5,0.53,1.05,1.19,3,False,False,False,False,False,False,False,True,143100.0,Baixo
IMV00073,Estúdio,Bairro Residencial,74,2,1,3,1961,Razoável,Sudeste,Rua,D,3.1,0.63,0.48,1.53,5,False,False,False,False,True,False,False,False,86700.0,Baixo
IMV00074,Duplex,Periferia,95,3,3,2,2024,Novo,Noroeste,Rua,B,6.4,1.0,0.3,1.01,4,False,False,True,False,True,False,False,False,156100.0,Médio
IMV00075,Moradia,Zona Comercial,109,2,2,0,2023,Novo,Nordeste,Pátio,B,0.3,2.54,0.47,2.24,5,False,False,False,False,False,False,False,False,305900.0,Alto
IMV00076,Moradia,Centro Histórico,130,3,3,0,2001,Razoável,Sul,Rua,D,0.0,0.41,1.52,0.96,7,False,False,False,False,True,False,False,True,351100.0,Alto
IMV00077,Apartamento,Periferia,89,2,1,4,2024,Novo,Sudeste,Jardim,B,8.0,6.61,0.15,3.56,3,False,False,False,False,False,False,False,True,130000.0,Baixo
IMV00078,Penthouse,Zona Comercial,112,3,2,2,2020,Novo,Sul,Rua,B,1.8,2.67,1.11,0.22,4,True,False,False,True,True,False,False,False,461100.0,Alto
IMV00079,Duplex,Zona Comercial,136,3,2,2,1971,Razoável,Sudoeste,Rua,E,2.7,2.38,2.62,0.8,4,False,False,True,False,False,False,True,True,300100.0,Alto
IMV00080,Duplex,Zona Comercial,122,4,2,2,2021,Novo,Noroeste,Pátio,B,1.4,0.41,0.71,5.23,6,True,False,True,False,True,True,True,False,379500.0,Alto
IMV00081,Estúdio,Zona Industrial,63,1,1,1,1977,Para Remodelar,Norte,Jardim,D,10.3,4.05,0.86,1.96,1,False,True,False,False,False,False,False,False,55600.0,Baixo
IMV00082,Penthouse,Zona Premium,198,3,2,9,1991,Razoável,Sul,Mar,D,3.4,4.13,2.09,0.98,5,False,False,False,False,False,False,False,False,739300.0,Alto
IMV00083,Estúdio,Bairro Residencial,50,1,1,5,1974,Para Remodelar,Noroeste,Rua,E,4.0,0.23,0.13,1.08,6,False,False,False,False,False,False,True,False,45600.0,Baixo
IMV00084,Duplex,Periferia,127,3,3,2,1981,Para Remodelar,Sul,Jardim,D,8.9,2.2,0.01,1.61,3,False,False,False,False,False,False,False,False,111600.0,Baixo
IMV00085,Apartamento,Periferia,119,3,2,0,2020,Novo,Oeste,Jardim,A+,8.2,0.91,1.86,0.31,3,False,False,False,False,False,False,False,False,149600.0,Baixo
IMV00086,Apartamento,Bairro Residencial,81,3,3,2,2008,Razoável,Sudoeste,Rua,D,6.1,0.57,1.17,1.73,4,True,False,False,False,False,False,False,False,113200.0,Baixo
IMV00087,Duplex,Centro Histórico,123,3,3,2,2020,Como Novo,Norte,Rua,B,0.6,2.43,0.11,0.11,6,True,False,True,True,False,True,True,True,408500.0,Alto
IMV00088,Apartamento,Centro Histórico,80,2,1,0,1973,Razoável,Sul,Rua,D,1.8,0.98,2.26,1.17,6,False,False,False,False,False,True,False,False,144100.0,Baixo
IMV00089,Estúdio,Centro Histórico,34,0,1,1,2023,Novo,Este,Rua,B,0.0,3.27,1.04,1.01,5,True,True,True,False,False,False,False,False,120900.0,Baixo
IMV00090,Penthouse,Zona Comercial,164,4,2,4,2021,Novo,Norte,Rua,B,2.0,2.76,1.32,2.34,4,True,False,True,True,False,True,True,False,672100.0,Alto
IMV00091,Moradia,Bairro Residencial,93,3,3,0,1961,Razoável,Sudoeste,Jardim,D,6.1,1.21,0.01,4.29,4,False,False,False,False,False,False,False,True,159800.0,Médio
IMV00092,Duplex,Zona Premium,164,3,3,5,2021,Novo,Oeste,Jardim,A,2.7,1.78,0.0,2.9,6,False,True,False,False,False,False,True,False,651200.0,Alto
IMV00093,Moradia,Zona Industrial,172,3,2,0,1978,Razoável,Sudeste,Pátio,F,9.3,2.3,1.23,4.66,1,False,False,False,False,True,False,False,False,181600.0,Médio
IMV00094,Penthouse,Zona Comercial,180,3,3,3,2023,Novo,Noroeste,Jardim,A,2.3,1.33,0.2,1.35,5,False,False,False,False,False,False,False,False,651600.0,Alto
IMV00095,Apartamento,Zona Industrial,84,2,1,2,1995,Bom,Sudoeste,Rua,D,8.3,1.95,0.69,1.72,1,False,False,False,False,False,True,False,False,91100.0,Baixo
IMV00096,Duplex,Zona Industrial,85,2,1,5,1975,Para Remodelar,Norte,Rua,F,9.8,2.25,0.07,2.01,2,False,False,False,False,False,False,False,False,58300.0,Baixo
IMV00097,Apartamento,Zona Premium,111,2,2,3,2024,Novo,Oeste,Rua,A,2.7,0.45,1.31,11.94,7,False,True,True,False,False,True,False,False,387100.0,Alto
IMV00098,Apartamento,Centro Histórico,84,2,1,7,2000,Razoável,Norte,Mar,E,0.2,1.42,0.26,5.63,6,False,False,False,False,False,False,False,False,140400.0,Baixo
IMV00099,Estúdio,Zona Premium,104,2,1,6,2010,Bom,Sudoeste,Jardim,D,1.8,0.45,0.18,1.2,8,False,False,True,False,False,False,False,False,232000.0,Médio
IMV00100,Apartamento,Zona Premium,162,3,2,3,1992,Razoável,Norte,Rua,D,4.2,0.7,0.6,1.52,6,False,True,True,False,False,False,False,False,374600.0,Alto
IMV00101,Moradia,Zona Industrial,143,4,2,0,1962,Para Remodelar,Sudeste,Pátio,E,8.7,1.06,0.91,0.1,1,False,True,False,False,True,False,False,False,148900.0,Baixo
IMV00102,Penthouse,Periferia,125,4,3,1,1990,Para Remodelar,Este,Rua,D,6.5,1.74,0.1,0.09,3,False,False,False,False,False,False,False,False,156500.0,Médio
IMV00103,Apartamento,Periferia,103,3,2,3,2003,Bom,Norte,Rua,B,7.0,2.57,2.12,2.24,2,False,False,False,False,False,False,False,False,102600.0,Baixo
IMV00104,Moradia,Zona Comercial,155,3,2,0,2016,Bom,Sul,Rua,B,2.3,2.01,1.64,5.57,4,False,False,False,False,False,False,False,False,373600.0,Alto
IMV00105,Apartamento,Zona Comercial,103,2,1,0,2012,Bom,Sudeste,Rua,C,3.8,3.07,1.45,4.66,4,False,False,False,False,True,False,True,True,244500.0,Médio
IMV00106,Apartamento,Zona Comercial,81,2,2,8,2020,Novo,Norte,Cidade,A,3.6,2.1,1.63,0.05,4,False,True,True,False,False,False,False,True,247100.0,Médio
IMV00107,Estúdio,Centro Histórico,68,1,2,7,1981,Para Remodelar,Nordeste,Cidade,D,0.0,0.12,0.27,4.75,8,True,True,False,False,False,True,False,False,118300.0,Baixo
IMV00108,Apartamento,Bairro Residencial,117,2,2,0,1999,Bom,Noroeste,Rua,E,4.7,2.23,0.92,6.69,3,True,False,False,False,False,False,True,False,195500.0,Médio
IMV00109,Estúdio,Zona Premium,93,3,2,1,1971,Para Remodelar,Norte,Rua,F,4.6,0.41,0.63,1.8,7,False,False,True,False,False,False,False,False,147900.0,Baixo
IMV00110,Duplex,Bairro Residencial,147,3,2,6,2001,Bom,Sudoeste,Cidade,B,6.7,0.76,0.09,2.88,5,False,True,False,True,True,False,False,False,284200.0,Médio
IMV00111,Penthouse,Zona Comercial,159,3,3,9,1967,Para Remodelar,Sudeste,Cidade,D,0.0,1.9,1.77,0.12,4,False,True,True,False,True,True,False,False,428100.0,Alto
IMV00112,Apartamento,Periferia,131,4,3,3,2010,Bom,Sudoeste,Pátio,C,8.5,3.1,1.29,0.39,2,False,False,False,False,False,False,False,False,148600.0,Baixo
IMV00113,Duplex,Centro Histórico,100,2,1,0,1990,Razoável,Noroeste,Jardim,E,1.3,0.1,0.49,5.73,8,False,False,False,False,False,False,False,False,210100.0,Médio
IMV00114,Duplex,Zona Comercial,67,2,2,7,1982,Razoável,Este,Cidade,F,2.3,0.7,0.92,3.67,5,False,True,False,False,False,False,False,False,155100.0,Médio
IMV00115,Moradia,Zona Comercial,88,2,1,0,1997,Razoável,Noroeste,Rua,F,2.1,2.77,0.87,2.46,4,False,False,False,False,False,False,False,False,174600.0,Médio
IMV00116,Estúdio,Bairro Residencial,84,3,2,0,2022,Novo,Nordeste,Rua,B,3.1,2.12,0.61,1.02,3,False,False,False,False,False,False,False,False,130600.0,Baixo
IMV00117,Duplex,Zona Industrial,115,2,1,1,2023,Como Novo,Nordeste,Rua,B,9.9,1.14,0.18,0.85,2,False,False,False,False,False,False,False,False,145900.0,Baixo
IMV00118,Penthouse,Centro Histórico,137,3,2,9,2010,Como Novo,Este,Cidade,C,0.3,12.24,0.16,5.09,6,True,True,False,False,False,True,False,True,521300.0,Alto
IMV00119,Penthouse,Bairro Residencial,93,2,1,5,1964,Para Remodelar,Este,Jardim,E,4.1,3.14,2.88,0.48,3,False,False,False,False,True,False,True,True,192100.0,Médio
IMV00120,Estúdio,Centro Histórico,74,1,2,10,2010,Bom,Norte,Serra,C,0.4,2.46,0.65,16.66,5,False,False,False,False,False,False,False,False,107700.0,Baixo
IMV00121,Estúdio,Bairro Residencial,76,1,2,0,1988,Razoável,Noroeste,Pátio,E,6.5,1.12,1.0,3.1,3,False,False,False,False,False,False,False,False,82500.0,Baixo
IMV00122,Estúdio,Bairro Residencial,28,0,1,1,1999,Bom,Noroeste,Rua,E,3.1,2.01,1.8,4.05,3,False,False,False,False,True,False,True,True,68200.0,Baixo
IMV00123,Estúdio,Bairro Residencial,96,2,1,0,2021,Novo,Norte,Jardim,A+,5.0,2.37,1.23,0.15,3,False,False,False,False,False,False,False,True,146400.0,Baixo
IMV00124,Penthouse,Zona Industrial,168,3,2,2,1990,Para Remodelar,Oeste,Rua,E,10.0,0.89,0.88,2.94,2,True,False,False,False,False,False,False,False,169800.0,Médio
IMV00125,Duplex,Zona Premium,85,2,1,0,1974,Razoável,Norte,Pátio,D,1.8,2.29,1.26,2.7,5,False,True,False,False,False,True,False,False,289600.0,Médio
IMV00126,Duplex,Zona Comercial,107,3,3,2,2007,Razoável,Norte,Jardim,D,2.7,0.18,0.04,2.49,7,False,True,False,False,False,True,False,False,268100.0,Médio
IMV00127,Apartamento,Centro Histórico,86,3,2,2,1987,Para Remodelar,Noroeste,Pátio,F,0.0,0.18,1.01,4.42,7,False,False,False,False,False,False,True,False,120900.0,Baixo
IMV00128,Duplex,Centro Histórico,97,3,3,1,2023,Como Novo,Nordeste,Rua,B,0.0,1.55,0.5,3.75,5,False,False,False,True,True,False,False,False,267700.0,Médio
IMV00129,Apartamento,Zona Premium,110,2,1,3,1983,Para Remodelar,Noroeste,Rua,E,4.5,0.06,0.51,4.31,7,False,False,False,False,True,False,False,False,216000.0,Médio
IMV00130,Penthouse,Periferia,120,3,3,1,1971,Razoável,Oeste,Rua,D,7.2,1.56,3.66,5.63,2,False,True,False,False,True,False,False,True,210000.0,Médio
IMV00131,Duplex,Zona Comercial,108,3,2,2,2023,Novo,Sul,Jardim,B,3.6,2.82,0.38,0.97,5,True,True,True,False,True,False,False,False,390500.0,Alto
IMV00132,Penthouse,Zona Premium,173,3,2,0,1997,Bom,Sudoeste,Pátio,F,2.0,1.04,1.14,0.24,5,True,True,True,False,False,False,True,False,768700.0,Alto
IMV00133,Estúdio,Zona Premium,122,3,3,3,2018,Bom,Sudoeste,Pátio,A+,3.3,0.45,0.57,2.7,7,False,False,False,True,False,True,False,False,258000.0,Médio
IMV00134,Moradia,Periferia,105,2,2,0,2020,Novo,Sudeste,Jardim,A,9.1,4.83,1.44,5.8,2,True,False,False,False,False,True,False,False,202500.0,Médio
IMV00135,Penthouse,Bairro Residencial,124,5,2,8,2022,Como Novo,Sudeste,Mar,A,5.0,1.08,0.66,3.03,3,False,False,False,False,False,False,False,False,285500.0,Médio
IMV00136,Apartamento,Zona Industrial,67,2,1,3,1963,Para Remodelar,Nordeste,Jardim,F,11.6,3.15,3.66,0.08,1,False,False,False,False,True,False,False,False,55100.0,Baixo
IMV00137,Penthouse,Bairro Residencial,185,3,2,7,1999,Bom,Norte,Cidade,F,6.1,2.6,2.2,2.36,3,False,False,False,False,True,False,True,False,434800.0,Alto
IMV00138,Penthouse,Bairro Residencial,143,4,3,2,1993,Para Remodelar,Noroeste,Rua,D,5.2,0.5,0.55,0.11,5,False,False,False,False,False,False,True,False,229400.0,Médio
IMV00139,Estúdio,Zona Comercial,57,2,1,2,2017,Como Novo,Norte,Rua,B,1.3,1.87,1.7,0.6,4,False,False,False,True,False,True,True,True,139300.0,Baixo
IMV00140,Apartamento,Zona Premium,93,2,2,4,2024,Novo,Nordeste,Pátio,B,3.1,1.07,0.46,8.11,6,True,True,False,True,True,True,True,True,415100.0,Alto
IMV00141,Duplex,Centro Histórico,88,2,1,3,1991,Para Remodelar,Norte,Rua,D,0.0,0.04,1.83,0.03,7,False,True,False,False,False,True,False,False,198600.0,Médio
IMV00142,Penthouse,Zona Industrial,199,5,3,9,2022,Como Novo,Este,Cidade,A+,8.6,0.56,0.34,6.15,3,True,True,True,False,True,True,True,False,403100.0,Alto
IMV00143,Apartamento,Zona Industrial,114,3,2,2,2020,Novo,Norte,Rua,A+,9.3,0.09,0.47,8.67,4,False,False,False,False,False,False,True,True,153600.0,Médio
IMV00144,Penthouse,Zona Industrial,140,5,2,3,2000,Razoável,Sudoeste,Jardim,E,10.8,0.82,0.43,1.52,3,False,False,False,False,False,False,False,False,163300.0,Médio
IMV00145,Moradia,Zona Premium,128,3,3,0,2023,Novo,Sul,Jardim,A,3.5,1.57,0.31,0.05,6,True,False,False,False,True,True,True,False,633300.0,Alto
IMV00146,Estúdio,Bairro Residencial,70,2,1,3,1984,Razoável,Noroeste,Rua,E,5.5,0.73,2.75,2.34,4,False,False,False,False,False,False,False,False,77700.0,Baixo
IMV00147,Apartamento,Zona Industrial,127,3,3,0,2006,Bom,Sudoeste,Rua,D,9.7,1.93,0.01,2.67,2,False,False,False,False,False,True,False,False,128900.0,Baixo
IMV00148,Penthouse,Centro Histórico,132,3,3,2,2017,Bom,Noroeste,Jardim,B,0.4,0.7,0.41,6.49,7,False,False,False,True,True,False,True,False,455200.0,Alto
IMV00149,Duplex,Centro Histórico,119,3,3,3,2002,Razoável,Sudeste,Rua,D,1.3,1.04,0.77,0.47,5,True,True,False,False,False,False,True,False,316400.0,Alto
IMV00150,Moradia,Bairro Residencial,118,2,2,0,2024,Novo,Oeste,Pátio,A,3.7,1.64,2.13,5.05,3,False,False,False,False,False,False,False,False,286300.0,Médio
